,locus_tag,old_locus_tag,name,description,type,length
lcl|NC_002947.4_gene_1,PP_RS00005,PP_0001,,ParB/RepB/Spo0J family partition protein,CDS,873
lcl|NC_002947.4_gene_2,PP_RS00010,PP_0002,,ParA family protein,CDS,792
lcl|NC_002947.4_gene_3,PP_RS00015,PP_0003,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,CDS,651
lcl|NC_002947.4_gene_4,PP_RS00020,PP_0004,mnmG,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,CDS,1893
lcl|NC_002947.4_gene_5,PP_RS00025,PP_0005,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,CDS,1371
lcl|NC_002947.4_gene_6,PP_RS00030,PP_0006,yidC,membrane protein insertase YidC,CDS,1683
lcl|NC_002947.4_gene_7,PP_RS00035,PP_0007,yidD,membrane protein insertion efficiency factor YidD,CDS,246
lcl|NC_002947.4_gene_8,PP_RS00040,PP_0008,rnpA,ribonuclease P protein component,CDS,405
lcl|NC_002947.4_gene_9,PP_RS00045,PP_0009,rpmH,50S ribosomal protein L34,CDS,135
lcl|NC_002947.4_gene_10,PP_RS00050,PP_0010,dnaA,chromosomal replication initiator protein DnaA,CDS,1521
lcl|NC_002947.4_gene_11,PP_RS00055,PP_0011,dnaN,DNA polymerase III subunit beta,CDS,1104
lcl|NC_002947.4_gene_12,PP_RS00060,PP_0012,recF,DNA replication/repair protein RecF,CDS,1104
lcl|NC_002947.4_gene_13,PP_RS00065,PP_0013,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,CDS,2421
lcl|NC_002947.4_gene_14,PP_RS00070,PP_5421,,TnsA endonuclease N-terminal domain-containing protein,CDS,639
lcl|NC_002947.4_gene_15,PP_RS00075,PP_0014,,DDE-type integrase/transposase/recombinase,CDS,1959
lcl|NC_002947.4_gene_16,PP_RS00080,PP_0015,,TniB family NTP-binding protein,CDS,960
lcl|NC_002947.4_gene_17,PP_RS00085,PP_0016,,TniQ family protein,CDS,1917
lcl|NC_002947.4_gene_18,PP_RS00090,PP_0017,,"histone-like nucleoid-structuring protein, MvaT/MvaU family",CDS,360
lcl|NC_002947.4_gene_19,PP_RS00095,PP_0018,,TIGR04255 family protein,CDS,843
lcl|NC_002947.4_gene_20,PP_RS00100,PP_0019,,transcriptional regulator,CDS,684
lcl|NC_002947.4_gene_21,PP_RS28370,PP_0020,,hypothetical protein,CDS,870
lcl|NC_002947.4_gene_22,PP_RS00110,PP_0021,,hypothetical protein,CDS,924
lcl|NC_002947.4_gene_23,PP_RS00115,,,hypothetical protein,CDS,210
