,PPutida_1,PPutida_2,PPutida_4,locus_tag,name,description,type,length
PP_0001,64.0,185.0,203.0,PP_RS00005,,ParB/RepB/Spo0J family partition protein,CDS,873
PP_0010,130.0,329.0,274.0,PP_RS00050,dnaA,chromosomal replication initiator protein DnaA,CDS,1521
PP_0097,8.0,58.0,47.0,PP_RS00495,,YheV family putative zinc ribbon protein,CDS,282
PP_0947,13.0,21.0,20.0,PP_RS04975,,ZIP family metal transporter,CDS,894
PP_0948,7.0,16.0,16.0,PP_RS04980,,HPr family phosphocarrier protein,CDS,273
PP_0949,63.0,239.0,238.0,PP_RS04985,rapZ,RNase adapter RapZ,CDS,855
PP_0950,86.0,298.0,377.0,PP_RS04990,ptsN,PTS IIA-like nitrogen regulatory protein PtsN,CDS,465
PP_0951,2724.0,2322.0,3760.0,PP_RS04995,raiA,"ribosome hibernation-promoting factor, HPF/YfiA family",CDS,309
PP_0952,230.0,395.0,457.0,PP_RS05000,,RNA polymerase factor sigma-54,CDS,1494
PP_0953,56.0,184.0,210.0,PP_RS05005,lptB,LPS export ABC transporter ATP-binding protein,CDS,726
PP_0954,241.0,464.0,436.0,PP_RS05010,lptA,lipopolysaccharide transport periplasmic protein LptA,CDS,525
PP_0955,367.0,273.0,298.0,PP_RS05015,lptC,LPS export ABC transporter periplasmic protein LptC,CDS,573
PP_0956,30.0,63.0,50.0,PP_RS05020,,HAD family hydrolase,CDS,525
PP_0099,33.0,82.0,86.0,PP_RS00505,,PA0069 family radical SAM protein,CDS,1059
PP_0957,75.0,180.0,210.0,PP_RS05025,,SIS domain-containing protein,CDS,975
PP_0958,30.0,94.0,101.0,PP_RS05030,,ATP-binding cassette domain-containing protein,CDS,810
PP_0959,35.0,69.0,85.0,PP_RS05035,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,CDS,798
PP_0960,66.0,80.0,111.0,PP_RS05040,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,CDS,486
PP_0961,83.0,355.0,322.0,PP_RS05045,,phospholipid-binding protein MlaC,CDS,648
PP_0962,28.0,83.0,59.0,PP_RS05050,,lipid asymmetry maintenance protein MlaB,CDS,303
PP_0963,40.0,82.0,83.0,PP_RS05055,,BolA family protein,CDS,240
PP_0964,142.0,375.0,455.0,PP_RS05060,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,CDS,1266
PP_0965,33.0,189.0,198.0,PP_RS05065,hisG,ATP phosphoribosyltransferase,CDS,636
PP_0966,30.0,84.0,109.0,PP_RS05070,hisD,histidinol dehydrogenase,CDS,1326
PP_0100,73.0,262.0,316.0,PP_RS00510,,carbonic anhydrase,CDS,720
PP_0967,25.0,167.0,137.0,PP_RS05075,hisC,histidinol-phosphate transaminase,CDS,1047
PP_0968,59.0,45.0,45.0,PP_RS05080,,alkaline phosphatase family protein,CDS,1185
PP_0969,3.0,16.0,26.0,PP_RS05085,,FadR/GntR family transcriptional regulator,CDS,651
PP_0970,14.0,48.0,23.0,PP_RS05090,,MFS transporter,CDS,1281
PP_0971,9.0,36.0,46.0,PP_RS05095,,nuclear transport factor 2 family protein,CDS,477
PP_0972,5.0,10.0,8.0,PP_RS05100,,GIY-YIG nuclease family protein,CDS,342
PP_0973,36.0,94.0,81.0,PP_RS05105,yejK,nucleoid-associated protein YejK,CDS,1008
PP_0975,42.0,77.0,105.0,PP_RS05110,,HU family DNA-binding protein,CDS,282
PP_0976,36.0,42.0,30.0,PP_RS05115,rlmF,23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF,CDS,954
PP_0977,193.0,654.0,713.0,PP_RS05120,,valine--tRNA ligase,CDS,2847
PP_0101,25.0,29.0,30.0,PP_RS00515,,SulP family inorganic anion transporter,CDS,1533
PP_0978,7.0,44.0,49.0,PP_RS05125,,hypothetical protein,CDS,366
PP_0979,4.0,16.0,7.0,PP_RS05130,,DNA polymerase III subunit chi,CDS,429
PP_0980,50.0,205.0,237.0,PP_RS05135,,leucyl aminopeptidase,CDS,1494
PP_0982,38.0,73.0,109.0,PP_RS05140,lptF,LPS export ABC transporter permease LptF,CDS,1116
PP_0983,9.0,53.0,63.0,PP_RS05145,lptG,LPS export ABC transporter permease LptG,CDS,1062
PP_0984,14.0,32.0,54.0,PP_RS05150,,RDD family protein,CDS,489
PP_0985,136.0,212.0,201.0,PP_RS05155,,cold-shock protein,CDS,210
PP_0986,33.0,50.0,131.0,PP_RS05160,gcvT,glycine cleavage system aminomethyltransferase GcvT,CDS,1122
PP_0987,35.0,65.0,71.0,PP_RS05165,,L-serine ammonia-lyase,CDS,1377
PP_0988,103.0,281.0,305.0,PP_RS05170,gcvP,aminomethyl-transferring glycine dehydrogenase,CDS,2856
PP_5426,38.0,68.0,80.0,PP_RS00520,,hypothetical protein,CDS,642
PP_0989,43.0,61.0,92.0,PP_RS05175,gcvH,glycine cleavage system protein GcvH,CDS,384
PP_0990,26.0,5.0,11.0,PP_RS05180,,DoxX family protein,CDS,468
PP_0991,4.0,10.0,6.0,PP_RS05185,,DNA-binding domain-containing protein,CDS,774
PP_0992,15.0,18.0,12.0,PP_RS05190,,DUF692 domain-containing protein,CDS,834
PP_0993,4.0,8.0,24.0,PP_RS05195,,DUF2282 domain-containing protein,CDS,288
PP_0994,29.0,67.0,53.0,PP_RS05200,,sigma-70 family RNA polymerase sigma factor,CDS,585
PP_0995,9.0,15.0,13.0,PP_RS05205,,DUF1109 domain-containing protein,CDS,642
PP_0996,32.0,43.0,35.0,PP_RS05210,gltS,sodium/glutamate symporter,CDS,1206
PP_0997,26.0,76.0,67.0,PP_RS05215,,sigma-54-dependent transcriptional regulator,CDS,1509
PP_0998,190.0,478.0,703.0,PP_RS05220,,DUF5064 family protein,CDS,369
PP_0103,62.0,71.0,93.0,PP_RS00525,coxB,cytochrome c oxidase subunit II,CDS,1128
PP_0999,581.0,1591.0,1919.0,PP_RS05225,arcC,carbamate kinase,CDS,930
PP_1000,4908.0,7090.0,8888.0,PP_RS05230,,ornithine carbamoyltransferase,CDS,1011
PP_1001,2817.0,6739.0,8363.0,PP_RS05235,arcA,arginine deiminase,CDS,1254
PP_1002,211.0,1140.0,1228.0,PP_RS05240,arcD,arginine-ornithine antiporter,CDS,1428
PP_1003,25.0,88.0,90.0,PP_RS05245,arcD,arginine-ornithine antiporter,CDS,1428
PP_1004,6.0,25.0,25.0,PP_RS05250,,YbaN family protein,CDS,414
PP_1005,2.0,17.0,35.0,PP_RS05255,,biliverdin-producing heme oxygenase,CDS,594
PP_1006,50.0,48.0,34.0,PP_RS05260,,TonB-dependent receptor,CDS,2589
PP_1007,7.0,11.0,8.0,PP_RS05265,,FecR domain-containing protein,CDS,963
PP_1008,2.0,15.0,7.0,PP_RS05270,,RNA polymerase sigma factor,CDS,513
PP_0104,36.0,60.0,88.0,PP_RS00530,ctaD,cytochrome c oxidase subunit I,CDS,1590
PP_1009,119.0,597.0,777.0,PP_RS05275,gap,type I glyceraldehyde-3-phosphate dehydrogenase,CDS,1002
PP_1010,96.0,671.0,847.0,PP_RS05280,edd,phosphogluconate dehydratase,CDS,1827
PP_1011,85.0,361.0,335.0,PP_RS05285,,glucokinase,CDS,960
PP_1012,22.0,103.0,122.0,PP_RS05290,gltR,two-component system response regulator GltR,CDS,726
PP_1013,16.0,88.0,61.0,PP_RS05295,,ATP-binding protein,CDS,1455
PP_1014,60.0,311.0,411.0,PP_RS05300,,AGE family epimerase/isomerase,CDS,1251
PP_1015,340.0,1396.0,1920.0,PP_RS05305,,ABC transporter substrate-binding protein,CDS,1287
PP_1016,28.0,47.0,77.0,PP_RS05310,,carbohydrate ABC transporter permease,CDS,909
PP_1017,14.0,99.0,108.0,PP_RS05315,,carbohydrate ABC transporter permease,CDS,846
PP_1018,101.0,238.0,277.0,PP_RS05320,ugpC,ABC transporter ATP-binding protein,CDS,1155
PP_0105,16.0,9.0,15.0,PP_RS00535,,cytochrome c oxidase assembly protein,CDS,567
PP_1019,113.0,380.0,328.0,PP_RS05325,,carbohydrate porin,CDS,1344
PP_1020,89.0,411.0,267.0,PP_RS05330,,D-hexose-6-phosphate mutarotase,CDS,855
PP_1021,28.0,152.0,141.0,PP_RS05335,hexR,DNA-binding transcriptional regulator HexR,CDS,864
PP_1022,895.0,2084.0,2119.0,PP_RS05340,zwf,glucose-6-phosphate dehydrogenase,CDS,1470
PP_1023,42.0,544.0,624.0,PP_RS05345,pgl,6-phosphogluconolactonase,CDS,714
PP_1024,266.0,858.0,977.0,PP_RS05350,,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,CDS,681
PP_1025,317.0,906.0,889.0,PP_RS05355,leuA,2-isopropylmalate synthase,CDS,1674
PP_1026,5.0,33.0,17.0,PP_RS05360,,M23 family metallopeptidase,CDS,828
PP_1027,33.0,77.0,97.0,PP_RS05365,xseA,exodeoxyribonuclease VII large subunit,CDS,1380
PP_1028,16.0,15.0,10.0,PP_RS05370,,LysR family transcriptional regulator,CDS,879
PP_0106,36.0,63.0,52.0,PP_RS00540,,cytochrome c oxidase subunit 3,CDS,888
PP_1029,12.0,9.0,0.0,PP_RS05375,,sulfite exporter TauE/SafE family protein,CDS,756
PP_1030,49.0,147.0,107.0,PP_RS05380,,hypothetical protein,CDS,558
PP_1031,272.0,805.0,832.0,PP_RS05385,guaB,IMP dehydrogenase,CDS,1470
PP_1032,32.0,211.0,212.0,PP_RS05390,guaA,glutamine-hydrolyzing GMP synthase,CDS,1578
PP_1033,168.0,215.0,220.0,PP_RS05395,,LTA synthase family protein,CDS,1887
PP_1034,28.0,58.0,45.0,PP_RS05400,,multicopper oxidase family protein,CDS,1380
PP_1035,4.0,15.0,11.0,PP_RS05405,tadA,tRNA adenosine(34) deaminase TadA,CDS,480
PP_1036,77.0,289.0,230.0,PP_RS05410,mltF,membrane-bound lytic murein transglycosylase MltF,CDS,1458
PP_1037,176.0,628.0,689.0,PP_RS05415,purL,phosphoribosylformylglycinamidine synthase,CDS,3900
PP_1038,6.0,14.0,13.0,PP_RS05420,,YqfO family protein,CDS,312
PP_5427,26.0,25.0,35.0,PP_RS00545,,twin transmembrane helix small protein,CDS,204
PP_1039,12.0,19.0,13.0,PP_RS05425,tatC,twin-arginine translocase subunit TatC,CDS,762
PP_1040,0.0,3.0,3.0,PP_RS05430,tatB,Sec-independent protein translocase protein TatB,CDS,291
PP_1041,1.0,5.0,0.0,PP_RS05435,tatA,twin-arginine translocase TatA/TatE family subunit,CDS,234
PP_1042,4.0,2.0,2.0,PP_RS05440,gspK,type II secretion system minor pseudopilin GspK,CDS,966
PP_1043,25.0,24.0,11.0,PP_RS05445,,PhoX family phosphatase,CDS,2076
PP_1044,4.0,4.0,2.0,PP_RS05450,,lipoprotein UxpA,CDS,1641
PP_1046,23.0,11.0,10.0,PP_RS05460,gspD,type II secretion system secretin GspD,CDS,1737
PP_1047,14.0,1.0,0.0,PP_RS05465,,GspE/PulE family protein,CDS,1449
PP_1048,2.0,5.0,12.0,PP_RS05470,gspF,type II secretion system inner membrane protein GspF,CDS,1203
PP_0011,85.0,226.0,154.0,PP_RS00055,dnaN,DNA polymerase III subunit beta,CDS,1104
PP_0107,5.0,17.0,17.0,PP_RS00550,,SURF1 family protein,CDS,738
PP_1050,0.0,0.0,1.0,PP_RS05480,gspH,type II secretion system minor pseudopilin GspH,CDS,432
PP_1052,1.0,1.0,2.0,PP_RS05490,,prepilin-type N-terminal cleavage/methylation domain-containing protein,CDS,591
PP_1053,0.0,4.0,0.0,PP_RS05495,,type II secretion system protein GspL,CDS,1077
PP_1054,2.0,3.0,0.0,PP_RS05500,gspM,type II secretion system protein GspM,CDS,387
PP_1055,10.0,5.0,9.0,PP_RS05505,,general secretion pathway protein GspN,CDS,663
PP_1056,15.0,36.0,39.0,PP_RS05510,,siderophore-interacting protein,CDS,762
PP_1057,9.0,33.0,42.0,PP_RS05515,,PadR family transcriptional regulator,CDS,546
PP_1058,153.0,265.0,275.0,PP_RS05520,,transglycosylase domain-containing protein,CDS,3150
PP_0108,1.0,4.0,8.0,PP_RS00555,,hypothetical protein,CDS,582
PP_1059,36.0,75.0,82.0,PP_RS05525,,amino acid permease,CDS,1419
PP_1060,40.0,79.0,120.0,PP_RS05530,,FMN-binding glutamate synthase family protein,CDS,1620
PP_1061,31.0,68.0,49.0,PP_RS05535,,DEAD/DEAH box helicase,CDS,4305
PP_1062,4.0,13.0,6.0,PP_RS05540,,NUDIX domain-containing protein,CDS,414
PP_1063,15.0,72.0,51.0,PP_RS05545,metR,transcriptional regulator MetR,CDS,918
PP_1064,5.0,8.0,1.0,PP_RS05550,,alpha/beta fold hydrolase,CDS,996
PP_1065,8.0,8.0,14.0,PP_RS05555,,GlpM family protein,CDS,336
PP_1066,18.0,33.0,26.0,PP_RS05560,,sigma-54 dependent transcriptional regulator,CDS,1329
PP_1067,44.0,93.0,69.0,PP_RS05565,,ATP-binding protein,CDS,1905
PP_1068,20.0,91.0,105.0,PP_RS05570,,amino acid ABC transporter ATP-binding protein,CDS,735
PP_0109,7.0,13.0,14.0,PP_RS00560,,heme A synthase,CDS,1080
PP_1069,24.0,42.0,51.0,PP_RS05575,,amino acid ABC transporter permease,CDS,672
PP_1070,57.0,51.0,49.0,PP_RS05580,,amino acid ABC transporter permease,CDS,747
PP_1071,261.0,310.0,450.0,PP_RS05585,,glutamate/aspartate ABC transporter substrate-binding protein,CDS,918
PP_1072,61.0,108.0,107.0,PP_RS05590,,NEL-type E3 ubiquitin ligase domain-containing protein,CDS,4320
PP_1073,133.0,302.0,308.0,PP_RS05595,glpD,glycerol-3-phosphate dehydrogenase,CDS,1539
PP_1074,20.0,45.0,35.0,PP_RS05600,glpR,DNA-binding transcriptional repressor GlpR,CDS,756
