,PPutida_1,PPutida_2,PPutida_4,locus_tag,name,description,type,length
PP_0001,4404,4187,2165,PP_RS00005,,ParB/RepB/Spo0J family partition protein,CDS,873
PP_0010,24817,27045,10591,PP_RS00050,dnaA,chromosomal replication initiator protein DnaA,CDS,1521
PP_0097,790,615,401,PP_RS00495,,YheV family putative zinc ribbon protein,CDS,282
PP_0947,1253,1395,735,PP_RS04975,,ZIP family metal transporter,CDS,894
PP_0948,539,585,541,PP_RS04980,,HPr family phosphocarrier protein,CDS,273
PP_0949,10884,12563,6078,PP_RS04985,rapZ,RNase adapter RapZ,CDS,855
PP_0950,17480,17334,19720,PP_RS04990,ptsN,PTS IIA-like nitrogen regulatory protein PtsN,CDS,465
PP_0951,33064,36102,8488,PP_RS04995,raiA,"ribosome hibernation-promoting factor, HPF/YfiA family",CDS,309
PP_0952,11962,10868,5558,PP_RS05000,,RNA polymerase factor sigma-54,CDS,1494
PP_0953,8602,8370,4895,PP_RS05005,lptB,LPS export ABC transporter ATP-binding protein,CDS,726
PP_0954,8684,8244,3366,PP_RS05010,lptA,lipopolysaccharide transport periplasmic protein LptA,CDS,525
PP_0955,19510,22461,6913,PP_RS05015,lptC,LPS export ABC transporter periplasmic protein LptC,CDS,573
PP_0956,7302,5258,4122,PP_RS05020,,HAD family hydrolase,CDS,525
PP_0099,664,986,483,PP_RS00505,,PA0069 family radical SAM protein,CDS,1059
PP_0957,15224,14182,8317,PP_RS05025,,SIS domain-containing protein,CDS,975
PP_0958,11026,9130,6490,PP_RS05030,,ATP-binding cassette domain-containing protein,CDS,810
PP_0959,11764,10197,6401,PP_RS05035,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,CDS,798
PP_0960,8371,7245,5132,PP_RS05040,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,CDS,486
PP_0961,7688,7943,3834,PP_RS05045,,phospholipid-binding protein MlaC,CDS,648
PP_0962,6218,6365,3224,PP_RS05050,,lipid asymmetry maintenance protein MlaB,CDS,303
PP_0963,3607,3543,2173,PP_RS05055,,BolA family protein,CDS,240
PP_0964,27686,25074,13274,PP_RS05060,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,CDS,1266
PP_0965,12090,11042,5624,PP_RS05065,hisG,ATP phosphoribosyltransferase,CDS,636
PP_0966,11665,12329,6096,PP_RS05070,hisD,histidinol dehydrogenase,CDS,1326
PP_0100,16840,19185,5393,PP_RS00510,,carbonic anhydrase,CDS,720
PP_0967,6934,6811,4276,PP_RS05075,hisC,histidinol-phosphate transaminase,CDS,1047
PP_0968,1187,1379,570,PP_RS05080,,alkaline phosphatase family protein,CDS,1185
PP_0969,1608,2222,1205,PP_RS05085,,FadR/GntR family transcriptional regulator,CDS,651
PP_0970,2427,2319,1561,PP_RS05090,,MFS transporter,CDS,1281
PP_0971,1848,1960,863,PP_RS05095,,nuclear transport factor 2 family protein,CDS,477
PP_0972,690,681,369,PP_RS05100,,GIY-YIG nuclease family protein,CDS,342
PP_0973,10359,14719,4110,PP_RS05105,yejK,nucleoid-associated protein YejK,CDS,1008
PP_0975,12961,14362,5171,PP_RS05110,,HU family DNA-binding protein,CDS,282
PP_0976,977,824,455,PP_RS05115,rlmF,23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF,CDS,954
PP_0977,49318,43511,26879,PP_RS05120,,valine--tRNA ligase,CDS,2847
PP_0101,579,696,296,PP_RS00515,,SulP family inorganic anion transporter,CDS,1533
PP_0978,1713,1799,967,PP_RS05125,,hypothetical protein,CDS,366
PP_0979,2472,2498,1041,PP_RS05130,,DNA polymerase III subunit chi,CDS,429
PP_0980,17760,17372,7751,PP_RS05135,,leucyl aminopeptidase,CDS,1494
PP_0982,8758,10389,5449,PP_RS05140,lptF,LPS export ABC transporter permease LptF,CDS,1116
PP_0983,5996,6783,3280,PP_RS05145,lptG,LPS export ABC transporter permease LptG,CDS,1062
PP_0984,5860,7243,2432,PP_RS05150,,RDD family protein,CDS,489
PP_0985,15392,17549,4994,PP_RS05155,,cold-shock protein,CDS,210
PP_0986,5173,5576,2992,PP_RS05160,gcvT,glycine cleavage system aminomethyltransferase GcvT,CDS,1122
