complex_id,name,genes,mod,replace
G1G01-919-MONOMER,,,4fe4s(1),
G1G01-919-MONOMER,,,2fe2s(1),
G1G01-2029-MONOMER,,,pydx5p(1),G1G01-2029-MONOMER_mod_pydx(1)
CPLX1G01-44,,,2fe2s(1) AND 4fe4s(2) AND fad(1),CPLX1G01-44_mod_3fe4s(1)_mod_fad(1)_mod_2fe2s(1)_mod_4fe4s(1)
RNase_E_tetra,RNase E,PP_1905(4),,
Sec-CPLX,Sec Holo-Translocon,PP_0474(1) AND PP_0441(1) AND PP_5706(1) AND PP_0834(1) AND PP_0835(1) AND PP_0836(1),,
TatBC_octa,Twin arginine protein translocation system,PP_1040(8) AND PP_5018(8),,
Bam-CPLX,Outer Membrane Protein Assembly Complex,PP_1599(1) AND PP_0856(1) AND PP_1238(1) AND PP_0622(1) AND PP_4731(1),,
LolCDE-CPLX,Lipoprotein release complex,PP_2154(2) AND PP_2155(1) AND PP_2156(1),,
SRP-CPLX,Signal Recognition Particle Complex,PP_1461(1),,
YheLMN-CPLX,Sulfurtransferase complex TusBCD,PP_3995(2) AND PP_3994(2) AND PP_3993(2),,
G1G01-4893-DIMER,TrmH family RNA methyltransferase,PP_4585(2),,
G1G01-914-DIMER,tRNA(cytosine(32)/uridine(32)-2-O)-methyltransferase TrmJ,PP_0839(2),,
G1G01-2124-DIMER,tRNA pseudouridine (38-40)synthase,PP_1994(2),,
G1G01-1556-DIMER,tRNA (guanosine(37)-N1)-methyltransferase TrmD,PP_1464(2),,
G1G01-5237-DIMER,tRNA (adenosine(37)-N6)-dimethylallytransferase MiaA,PP_4895(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,PP_1915() AND PP_4175(),,
CPLX_ACONCt4pp-0,Citrate transport via sodium symport  periplasm ,PP_1416() AND PP_1417() AND PP_1418(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),PP_1915() AND PP_1912(),,
CPLX_ALPATE160pp-0,"Apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)",PP_4790() AND PP_5226(),,
CPLX_APCt5-0,Ampicilin  transport out via proton antiport TtgABC system  cytoplasmexternal ,PP_0958() AND PP_0959() AND PP_0960(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,PP_2328() AND PP_0510(),,
CPLX_APSR-1,Adenosine 5'-phosphosulfate reductase;,PP_2328() AND PP_5069(),,
CPLX_APSR-2,Adenosine 5'-phosphosulfate reductase;,PP_2328() AND PP_5215(),,
CPLX_APSR2-0,Adenosine 5  phosphosulfate reductase,PP_2328() AND PP_5054(),,
CPLX_APSR2-1,Adenosine 5  phosphosulfate reductase,PP_2328() AND PP_2958(),,
CPLX_ARBTNabcpp-0,Aerobactin transport via ABC system (periplasm),PP_2417() AND PP_2416() AND PP_2418(),,
CPLX_ARBTNabcpp-1,Aerobactin transport via ABC system (periplasm),PP_2593() AND PP_2592() AND PP_2591(),,
CPLX_ARBTNabcpp-2,Aerobactin transport via ABC system (periplasm),PP_2594() AND PP_2592() AND PP_2591(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),PP_4485(1) AND PP_4486(1) AND PP_4484(1) AND PP_4483(2),,
CPLX_ARGabcpp-1,L-arginine transport via ABC system (periplasm),PP_1297() AND PP_1299() AND PP_1300() AND PP_1298(),,
CPLX_ASPCT-0,Aspartate carbamoyltransferase,PP_4998() AND PP_4999(),,
CPLX_CARNabcpp-0,Carnosine transport via ABC system  periplasm ,PP_0882() AND PP_0881() AND PP_0880() AND PP_0879() AND PP_0878(),,
CPLX_CARNabcpp-1,Carnosine transport via ABC system  periplasm ,PP_0884() AND PP_0881() AND PP_0880() AND PP_0879() AND PP_0878(),,
CPLX_CARNabcpp-2,Carnosine transport via ABC system  periplasm ,PP_0878(1) AND PP_0879(1) AND PP_0880(1) AND PP_0881(1) AND PP_0885(1),,
