,name,genes,source
G1G01-2620-MONOMER,hypothetical protein,PP_2450(),BioCyc
G1G01-1025-MONOMER,ribosome hibernation promoting factor,PP_0951(),BioCyc
G1G01-4670-MONOMER,chemotaxis protein methyltransferase,PP_4392(),BioCyc
G1G01-1371-MONOMER,alginate production protein AlgE,PP_1284(),BioCyc
G1G01-2960-MONOMER,3-oxoacyl-ACP synthase,PP_2780(),BioCyc
G1G01-5028-MONOMER,OsmY-like protein,PP_4707(),BioCyc
G1G01-3297-MONOMER,hypothetical protein,PP_3100(),BioCyc
G1G01-1711-MONOMER,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,PP_1614(2),BioCyc
G1G01-5372-MONOMER,D-tyrosyl-tRNA(Tyr) deacylase,PP_5027(),BioCyc
G1G01-3634-MONOMER,"quercetin 2,3-dioxygenase",PP_3403(),BioCyc
G1G01-1906-MONOMER,UDP-sugar epimerase,PP_1803(),BioCyc
G1G01-5711-MONOMER,sodium/proton antiporter,PP_5355(),BioCyc
G1G01-3971-MONOMER,aminotransferase,PP_3718(),BioCyc
G1G01-851-MONOMER,hypothetical protein,PP_0775(),BioCyc
G1G01-226-MONOMER,4Fe-4S ferredoxin,PP_0206(),BioCyc
G1G01-4311-MONOMER,hypothetical protein,PP_4046(),BioCyc
G1G01-2604-MONOMER,hypothetical protein,PP_5523(),BioCyc
G1G01-1010-MONOMER,septum formation protein,PP_0936(),BioCyc
G1G01-4656-MONOMER,flagellin,PP_4378(),BioCyc
G1G01-1357-MONOMER,LysR family transcriptional regulator,PP_1270(),BioCyc
G1G01-2946-MONOMER,long-chain-fatty acid--CoA ligase-like protein,PP_2766(),BioCyc
G1G01-5012-MONOMER,RNA polymerase-binding transcription factor DksA,PP_4693(),BioCyc
G1G01-3282-MONOMER,RNA polymerase ECF-9 &sigma; factor,PP_3086(),BioCyc
G1G01-1696-MONOMER,outer membrane protein assembly factor,PP_1599(),BioCyc
G1G01-5357-MONOMER,hypothetical protein,PP_5012(),BioCyc
G1G01-362-MONOMER,hypothetical protein,PP_0329(),BioCyc
G1G01-5698-MONOMER,GntR family transcriptional regulator,PP_5342(),BioCyc
G1G01-3957-MONOMER,hypothetical protein,PP_5624(),BioCyc
G1G01-836-MONOMER,membrane protein,PP_0760(),BioCyc
G1G01-2245-MONOMER,hypothetical protein,PP_2105(),BioCyc
G1G01-4298-MONOMER,ribonuclease Z,PP_4033(2),BioCyc
G1G01-2590-MONOMER,AraC family transcriptional regulator,PP_2425(),BioCyc
G1G01-4641-MONOMER,two-component system sensor histidine kinase/response regulator,PP_4363(),BioCyc
G1G01-1341-MONOMER,xenobiotics reductase XenA,PP_1254(),BioCyc
G1G01-2931-MONOMER,branched-chain amino acid ABC transporter permease,PP_2750(),BioCyc
G1G01-4999-MONOMER,hypothetical protein,PP_4681(),BioCyc
G1G01-3267-MONOMER,D-beta-hydroxybutyrate permease,PP_3074(),BioCyc
G1G01-1679-MONOMER,hypothetical protein,PP_1584(),BioCyc
G1G01-5342-MONOMER,pyrimidine operon regulatory protein/uracil phosphoribosyltransferase,PP_4997(),BioCyc
G1G01-3605-MONOMER,hypothetical protein,PP_3374(),BioCyc
G1G01-5683-MONOMER,phosphate ABC transporter permease,PP_5327(),BioCyc
G1G01-3942-MONOMER,hypothetical protein,PP_3694(),BioCyc
G1G01-821-MONOMER,uracil phosphoribosyltransferase,PP_0746(3),BioCyc
G1G01-2229-MONOMER,serine/threonine-protein kinase,PP_2091(),BioCyc
G1G01-4282-MONOMER,HflD-like high frequency lysogenization protein,PP_4015(),BioCyc
G1G01-4626-MONOMER,cystathionine beta-lyase,PP_4348(),BioCyc
G1G01-1324-MONOMER,lipoprotein,PP_1238(),BioCyc
G1G01-2577-MONOMER,hypothetical protein,PP_2414(),BioCyc
G1G01-2917-MONOMER,hypothetical protein,PP_2736(),BioCyc
G1G01-498-MONOMER,elongation factor Tu-B,PP_0452(),BioCyc
G1G01-3251-MONOMER,hypothetical protein,PP_3061(),BioCyc
G1G01-1664-MONOMER,head-tail adaptor,PP_1570(),BioCyc
G1G01-5328-MONOMER,amine oxidase,PP_4983(),BioCyc
G1G01-3591-MONOMER,membrane protein,PP_3360(),BioCyc
G1G01-5669-MONOMER,hypothetical protein,PP_5312(),BioCyc
G1G01-3928-MONOMER,hypothetical protein,PP_5614(),BioCyc
G1G01-807-MONOMER,glutamyl-tRNA reductase,PP_0732(2),BioCyc
G1G01-2214-MONOMER,hypothetical protein,PP_2076(),BioCyc
G1G01-4268-MONOMER,fluoride ion transporter CrcB,PP_4001(),BioCyc
G1G01-4610-MONOMER,chemotaxis protein CheW,PP_4332(),BioCyc
G1G01-1309-MONOMER,TolQRA transport system periplasmic protein,PP_1224(),BioCyc
G1G01-2562-MONOMER,hypothetical protein,PP_2399(),BioCyc
G1G01-2902-MONOMER,membrane protein,PP_2721(),BioCyc
G1G01-4965-MONOMER,membrane protein,PP_4652(1),BioCyc
G1G01-165-MONOMER,gcdH transcriptional regulator,PP_0157(),BioCyc
G1G01-5312-MONOMER,DNA ligase B,PP_4968(),BioCyc
G1G01-324-MONOMER,imidazole glycerol phosphate synthase subunit HisF,PP_0293(),BioCyc
G1G01-3577-MONOMER,nickel ABC transporter permease,PP_3344(),BioCyc
G1G01-5654-MONOMER,amino acid transporter,PP_5297(),BioCyc
G1G01-792-MONOMER,sulfate transporter,PP_0718(),BioCyc
G1G01-3915-MONOMER,hypothetical protein,PP_5610(),BioCyc
G1G01-220-MONOMER,putative NADH:ubiquinone oxidoreductase subunit 2,PP_5433(),BioCyc
G1G01-4252-MONOMER,transposase,PP_3986(),BioCyc
G1G01-4597-MONOMER,cytochrome c-type biogenesis protein,PP_4320(),BioCyc
G1G01-1295-MONOMER,DNA-binding stress protein,PP_1210(),BioCyc
G1G01-2547-MONOMER,membrane protein,PP_2384(),BioCyc
G1G01-2889-MONOMER,hypothetical protein,PP_2708(),BioCyc
G1G01-4950-MONOMER,5-methyltetrahydropteroyltriglutamate- homocysteine S-methyltransferase family protein,PP_4637(1),BioCyc
G1G01-1634-MONOMER,hypothetical protein,PP_1542(),BioCyc
