,PPutida_1,PPutida_2,PPutida_4,PPutida_1_rna,PPutida_2_rna,PPutida_4_rna,PPutida_1_te,PPutida_2_te,PPutida_4_te,predicted,locus_tag,name,description,type,length,subsystem
PP_0001,115.34612940269483,101.37983598403551,117.39275304441703,145.1388684157412,205.6332392237067,239.66064996440508,0.7947294247347517,0.4930128823859319,0.48982906898505224,,PP_RS00005,,ParB/RepB/Spo0J family partition protein,CDS,873.0,
PP_0010,649.9874871450222,654.8406171932744,574.2755877567764,294.81332646947436,365.6937065113487,323.48284773520686,2.2047425566846734,1.79068057648663,1.775289143697847,,PP_RS00050,dnaA,chromosomal replication initiator protein DnaA,CDS,1521.0,
PP_0097,20.691063176232724,14.890995732071131,21.743415229012115,18.14235855196765,64.46879932418913,55.487933735601175,1.1404836431252567,0.2309798831088813,0.39185844137968856,,PP_RS00495,,YheV family putative zinc ribbon protein,CDS,282.0,
PP_0947,32.81759767065773,33.77713666055159,39.853890756418714,29.481332646947433,23.342151479447793,23.6118866960005,1.1131653396969403,1.4470447032396114,1.687874047065005,,PP_RS04975,,ZIP family metal transporter,CDS,894.0,
PP_0948,14.117067154417011,14.164605696360345,29.33463251594901,15.874563732971694,17.784496365293556,18.889509356800403,0.889288511601466,0.7964580725492217,1.5529589446635501,,PP_RS04980,,HPr family phosphocarrier protein,CDS,273.0,
PP_0949,285.065229886224,304.18793395448716,329.5672762143033,142.87107359674528,265.6559144565725,280.981451682406,1.9952620408720583,1.1450448395878408,1.172914703945704,,PP_RS04985,rapZ,RNase adapter RapZ,CDS,855.0,
PP_0950,457.8225117981621,419.70816263369267,1069.2771778456831,195.03035443365224,331.2362448035925,445.08406421960944,2.3474423411044443,1.2670961261578118,2.402416226068453,,PP_RS04990,ptsN,PTS IIA-like nitrogen regulatory protein PtsN,CDS,465.0,
PP_0951,865.9864719733657,874.1377689743609,460.24465951085995,6177.473086944985,2580.975035013227,4439.034698848094,0.1401845802944051,0.3386850926940024,0.10368124845482532,,PP_RS04995,raiA,"ribosome hibernation-promoting factor, HPF/YfiA family",CDS,309.0,
PP_0952,313.29936419505805,263.1468969368277,301.37132629139484,521.59280836907,439.05475401818467,539.5316110036114,0.600658903205914,0.5993487020207251,0.5585795533477603,,PP_RS05000,,RNA polymerase factor sigma-54,CDS,1494.0,
PP_0953,225.29686764804293,202.66281996330957,265.42149013968657,126.99650986377355,204.52170820087588,247.92481030800528,1.7740398369192514,0.9909110467836473,1.0705725248309945,14.136362678019143,PP_RS05005,lptB,LPS export ABC transporter ATP-binding protein,CDS,726.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
