,locus_tag,name,description,type,length,subsystem
PP_0001,PP_RS00005,,ParB/RepB/Spo0J family partition protein,CDS,873.0,
PP_0002,PP_RS00010,,ParA family protein,CDS,792.0,
PP_0003,PP_RS00015,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,CDS,651.0,Translation
PP_0004,PP_RS00020,mnmG,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,CDS,1893.0,
PP_0005,PP_RS00025,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,CDS,1371.0,
PP_0006,PP_RS00030,yidC,membrane protein insertase YidC,CDS,1683.0,
PP_0007,PP_RS00035,yidD,membrane protein insertion efficiency factor YidD,CDS,246.0,
PP_0008,PP_RS00040,rnpA,ribonuclease P protein component,CDS,405.0,Transcription
PP_0009,PP_RS00045,rpmH,50S ribosomal protein L34,CDS,135.0,
PP_0010,PP_RS00050,dnaA,chromosomal replication initiator protein DnaA,CDS,1521.0,
PP_0011,PP_RS00055,dnaN,DNA polymerase III subunit beta,CDS,1104.0,
PP_0012,PP_RS00060,recF,DNA replication/repair protein RecF,CDS,1104.0,
PP_0013,PP_RS00065,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,CDS,2421.0,
PP_5421,PP_RS00070,,TnsA endonuclease N-terminal domain-containing protein,CDS,639.0,
PP_0014,PP_RS00075,,DDE-type integrase/transposase/recombinase,CDS,1959.0,
PP_0015,PP_RS00080,,TniB family NTP-binding protein,CDS,960.0,
PP_0016,PP_RS00085,,TniQ family protein,CDS,1917.0,
PP_0017,PP_RS00090,,"histone-like nucleoid-structuring protein, MvaT/MvaU family",CDS,360.0,
PP_0018,PP_RS00095,,TIGR04255 family protein,CDS,843.0,
PP_0019,PP_RS00100,,transcriptional regulator,CDS,684.0,
PP_0020,PP_RS28370,,hypothetical protein,CDS,870.0,
PP_0021,PP_RS00110,,hypothetical protein,CDS,924.0,
PP_0023,PP_RS28780,,hypothetical protein,CDS,129.0,
PP_0024,PP_RS00125,,phosphoethanolamine transferase,CDS,1698.0,
PP_0026,PP_RS00135,,cation diffusion facilitator family transporter,CDS,906.0,Metabolic:S_Heavy_Metal_Tolerance
PP_0027,PP_RS00140,,DUF3147 family protein,CDS,351.0,
PP_0028,PP_RS00145,,DUF2790 domain-containing protein,CDS,327.0,
PP_0029,PP_RS00150,,heavy metal response regulator transcription factor,CDS,675.0,
PP_0030,PP_RS00155,,heavy metal sensor histidine kinase,CDS,1419.0,
PP_0031,PP_RS00160,,hypothetical protein,CDS,588.0,
PP_0032,PP_RS00165,,hypothetical protein,CDS,222.0,
PP_0033,PP_RS00170,,phospholipid carrier-dependent glycosyltransferase,CDS,1455.0,
PP_0034,PP_RS00175,,glycosyltransferase family 2 protein,CDS,984.0,
PP_0035,PP_RS00180,,GtrA family protein,CDS,420.0,
PP_0036,PP_RS00185,,LysR family transcriptional regulator,CDS,969.0,
PP_0037,PP_RS00190,,OprO/OprP family phosphate-selective porin,CDS,1308.0,Metabolic:S_Transport__Outer_Membrane
PP_0039,PP_RS00195,,hypothetical protein,CDS,1026.0,
PP_0040,PP_RS00200,,hypothetical protein,CDS,225.0,
PP_0041,PP_RS00205,,heavy metal translocating P-type ATPase,CDS,1998.0,Metabolic:S_Heavy_Metal_Tolerance
PP_0042,PP_RS00210,,DUF2790 domain-containing protein,CDS,324.0,
PP_0043,PP_RS00215,,CusA/CzcA family heavy metal efflux RND transporter,CDS,3162.0,Metabolic:S_Heavy_Metal_Tolerance
PP_0044,PP_RS00220,,efflux RND transporter periplasmic adaptor subunit,CDS,1251.0,Metabolic:S_Heavy_Metal_Tolerance
PP_0045,PP_RS00225,,TolC family protein,CDS,1272.0,Metabolic:S_Heavy_Metal_Tolerance
PP_0046,PP_RS00230,,OprD family porin,CDS,1344.0,
PP_0047,PP_RS00235,,heavy metal response regulator transcription factor,CDS,675.0,
PP_0048,PP_RS00240,,hypothetical protein,CDS,324.0,
PP_5423,PP_RS00245,,hypothetical protein,CDS,528.0,
PP_0049,PP_RS00250,,hypothetical protein,CDS,1398.0,
PP_5424,PP_RS00255,,hypothetical protein,CDS,402.0,
PP_0050,PP_RS00260,,RcnB family protein,CDS,408.0,
PP_0051,PP_RS00265,,sigma-54-dependent Fis family transcriptional regulator,CDS,1293.0,
PP_0052,PP_RS00270,,MBL fold metallo-hydrolase,CDS,885.0,
PP_0053,PP_RS00275,,FAD/NAD(P)-binding oxidoreductase,CDS,1269.0,
PP_0054,PP_RS00280,,sulfite exporter TauE/SafE family protein,CDS,819.0,
PP_0055,PP_RS00285,,LysR family transcriptional regulator,CDS,888.0,
PP_0056,PP_RS00290,,GMC family oxidoreductase,CDS,1647.0,
PP_0057,PP_RS00295,,MFS transporter,CDS,1620.0,
PP_0058,PP_RS00300,,1-acyl-sn-glycerol-3-phosphate acyltransferase,CDS,786.0,Metabolic:S_Glycerophospholipid_Metabolism
PP_0059,PP_RS00305,gmhB,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase",CDS,528.0,Metabolic:S_Cell_Envelope_Biosynthesis__Biosynthesis_of_L_glycero_D_manno_heptose__Hep_
PP_0060,PP_RS00310,glyS,glycine--tRNA ligase subunit beta,CDS,2055.0,tRNA Charging
PP_0061,PP_RS00315,glyQ,glycine--tRNA ligase subunit alpha,CDS,948.0,tRNA Charging
PP_0062,PP_RS00320,,DNA-3-methyladenine glycosylase I,CDS,552.0,
PP_0063,PP_RS00325,,lysophospholipid acyltransferase,CDS,888.0,Metabolic:S_Cell_Envelope_Biosynthesis__Lipid_A_Biosynthesis
PP_0064,PP_RS00330,,tetratricopeptide repeat protein,CDS,315.0,
PP_0065,PP_RS00335,trkA,Trk system potassium transporter TrkA,CDS,1374.0,Metabolic:S_Transport__Inner_Membrane
PP_0066,PP_RS00340,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,CDS,1311.0,Translation
PP_0067,PP_RS00345,fmt,methionyl-tRNA formyltransferase,CDS,933.0,Translation
PP_0068,PP_RS00350,def,peptide deformylase,CDS,507.0,Translation
PP_0069,PP_RS00355,dprA,DNA-processing protein DprA,CDS,1098.0,
PP_0070,PP_RS00360,,L-threonylcarbamoyladenylate synthase,CDS,558.0,tRNA Charging
PP_5425,PP_RS00365,,hypothetical protein,CDS,201.0,
PP_0071,PP_RS00370,,hypothetical protein,CDS,315.0,
PP_0072,PP_RS00375,,NADPH:quinone reductase,CDS,978.0,Metabolic:Unassigned
PP_0073,PP_RS00380,hemF,oxygen-dependent coproporphyrinogen oxidase,CDS,912.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism
PP_0074,PP_RS00385,aroE,shikimate dehydrogenase,CDS,825.0,Metabolic:S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis
PP_0075,PP_RS00390,,SulP family inorganic anion transporter,CDS,1566.0,Metabolic:S_Transport__ABC_system
PP_0076,PP_RS00395,choX,choline ABC transporter substrate-binding protein,CDS,924.0,Metabolic:S_Transport__ABC_system
PP_0077,PP_RS00400,betC,choline-sulfatase,CDS,1518.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_0079,PP_RS00405,,choline sulfate utilization transcriptional regulator,CDS,900.0,
PP_0080,PP_RS00410,,NAD(P)H-binding protein,CDS,618.0,
PP_0081,PP_RS00415,,"DOPA 4,5-dioxygenase family protein",CDS,333.0,
PP_0082,PP_RS00420,trpA,tryptophan synthase subunit alpha,CDS,810.0,Metabolic:S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis
PP_0083,PP_RS00425,trpB,tryptophan synthase subunit beta,CDS,1218.0,Metabolic:S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis
PP_0084,PP_RS00430,,LysR family transcriptional regulator,CDS,897.0,
PP_0085,PP_RS00435,,YqjD family protein,CDS,324.0,
PP_0086,PP_RS00440,,dodecin,CDS,216.0,
PP_0087,PP_RS00445,,DUF1161 domain-containing protein,CDS,222.0,
PP_0088,PP_RS00450,,LLM class flavin-dependent oxidoreductase,CDS,1005.0,
PP_0089,PP_RS00455,,OsmC family protein,CDS,426.0,
PP_0090,PP_RS00460,,DUF1161 domain-containing protein,CDS,234.0,
PP_0091,PP_RS00465,,lipoprotein,CDS,414.0,
PP_0092,PP_RS00470,,lipoprotein,CDS,414.0,
PP_0093,PP_RS00475,,aminopeptidase,CDS,1077.0,
PP_0094,PP_RS00480,,HAD family hydrolase,CDS,651.0,
PP_0095,PP_RS00485,,gamma carbonic anhydrase family protein,CDS,549.0,
PP_0096,PP_RS00490,prlC,oligopeptidase A,CDS,2088.0,
PP_0097,PP_RS00495,,YheV family putative zinc ribbon protein,CDS,282.0,
PP_0099,PP_RS00505,,PA0069 family radical SAM protein,CDS,1059.0,
PP_0100,PP_RS00510,,carbonic anhydrase,CDS,720.0,Metabolic:Unassigned
PP_0101,PP_RS00515,,SulP family inorganic anion transporter,CDS,1533.0,
PP_5426,PP_RS00520,,hypothetical protein,CDS,642.0,
PP_0103,PP_RS00525,coxB,cytochrome c oxidase subunit II,CDS,1128.0,Metabolic:S_Oxidative_Phosphorylation
PP_0104,PP_RS00530,ctaD,cytochrome c oxidase subunit I,CDS,1590.0,Metabolic:S_Oxidative_Phosphorylation
PP_0105,PP_RS00535,,cytochrome c oxidase assembly protein,CDS,567.0,Metabolic:S_Oxidative_Phosphorylation
PP_0106,PP_RS00540,,cytochrome c oxidase subunit 3,CDS,888.0,Metabolic:S_Oxidative_Phosphorylation
PP_5427,PP_RS00545,,twin transmembrane helix small protein,CDS,204.0,
PP_0107,PP_RS00550,,SURF1 family protein,CDS,738.0,
PP_0108,PP_RS00555,,hypothetical protein,CDS,582.0,
PP_0109,PP_RS00560,,heme A synthase,CDS,1080.0,
PP_0110,PP_RS00565,cyoE,heme o synthase,CDS,894.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism
