,PPutida_1,PPutida_2,PPutida_4,PPutida_1_rna,PPutida_2_rna,PPutida_4_rna,PPutida_1_te,PPutida_2_te,PPutida_4_te,predicted,locus_tag,name,description,type,length,subsystem
PP_0001,4404.0,4187.0,2165.0,64.0,185.0,203.0,68.8125,22.63243243243243,10.665024630541872,,PP_RS00005,,ParB/RepB/Spo0J family partition protein,CDS,873.0,
PP_0010,24817.0,27045.0,10591.0,130.0,329.0,274.0,190.9,82.20364741641338,38.653284671532845,,PP_RS00050,dnaA,chromosomal replication initiator protein DnaA,CDS,1521.0,
PP_0097,790.0,615.0,401.0,8.0,58.0,47.0,98.75,10.60344827586207,8.53191489361702,,PP_RS00495,,YheV family putative zinc ribbon protein,CDS,282.0,
PP_0947,1253.0,1395.0,735.0,13.0,21.0,20.0,96.38461538461539,66.42857142857143,36.75,,PP_RS04975,,ZIP family metal transporter,CDS,894.0,
PP_0948,539.0,585.0,541.0,7.0,16.0,16.0,77.0,36.5625,33.8125,,PP_RS04980,,HPr family phosphocarrier protein,CDS,273.0,
PP_0949,10884.0,12563.0,6078.0,63.0,239.0,238.0,172.76190476190476,52.56485355648535,25.537815126050422,,PP_RS04985,rapZ,RNase adapter RapZ,CDS,855.0,
PP_0950,17480.0,17334.0,19720.0,86.0,298.0,377.0,203.25581395348837,58.16778523489933,52.30769230769231,,PP_RS04990,ptsN,PTS IIA-like nitrogen regulatory protein PtsN,CDS,465.0,
PP_0951,33064.0,36102.0,8488.0,2724.0,2322.0,3760.0,12.138032305433187,15.54780361757106,2.2574468085106383,,PP_RS04995,raiA,"ribosome hibernation-promoting factor, HPF/YfiA family",CDS,309.0,
PP_0952,11962.0,10868.0,5558.0,230.0,395.0,457.0,52.00869565217391,27.513924050632912,12.161925601750546,,PP_RS05000,,RNA polymerase factor sigma-54,CDS,1494.0,
PP_0953,8602.0,8370.0,4895.0,56.0,184.0,210.0,153.60714285714286,45.48913043478261,23.30952380952381,14.128324297527156,PP_RS05005,lptB,LPS export ABC transporter ATP-binding protein,CDS,726.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0954,8684.0,8244.0,3366.0,241.0,464.0,436.0,36.03319502074689,17.767241379310345,7.720183486238532,14.128324297527156,PP_RS05010,lptA,lipopolysaccharide transport periplasmic protein LptA,CDS,525.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0955,19510.0,22461.0,6913.0,367.0,273.0,298.0,53.16076294277929,82.27472527472527,23.197986577181208,14.128324297527156,PP_RS05015,lptC,LPS export ABC transporter periplasmic protein LptC,CDS,573.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0956,7302.0,5258.0,4122.0,30.0,63.0,50.0,243.4,83.46031746031746,82.44,113.02659438021725,PP_RS05020,,HAD family hydrolase,CDS,525.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_0099,664.0,986.0,483.0,33.0,82.0,86.0,20.12121212121212,12.024390243902438,5.616279069767442,,PP_RS00505,,PA0069 family radical SAM protein,CDS,1059.0,
PP_0957,15224.0,14182.0,8317.0,75.0,180.0,210.0,202.98666666666668,78.78888888888889,39.60476190476191,113.02659438021725,PP_RS05025,,SIS domain-containing protein,CDS,975.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_0958,11026.0,9130.0,6490.0,30.0,94.0,101.0,367.53333333333336,97.12765957446808,64.25742574257426,0.0,PP_RS05030,,ATP-binding cassette domain-containing protein,CDS,810.0,Metabolic:S_Transport__solvent_extrusion
PP_0959,11764.0,10197.0,6401.0,35.0,69.0,85.0,336.1142857142857,147.7826086956522,75.30588235294118,0.0,PP_RS05035,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,CDS,798.0,Metabolic:S_Transport__solvent_extrusion
PP_0960,8371.0,7245.0,5132.0,66.0,80.0,111.0,126.83333333333333,90.5625,46.234234234234236,0.0,PP_RS05040,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,CDS,486.0,Metabolic:S_Transport__solvent_extrusion
PP_0961,7688.0,7943.0,3834.0,83.0,355.0,322.0,92.62650602409639,22.374647887323945,11.906832298136646,,PP_RS05045,,phospholipid-binding protein MlaC,CDS,648.0,
PP_0962,6218.0,6365.0,3224.0,28.0,83.0,59.0,222.07142857142858,76.6867469879518,54.644067796610166,,PP_RS05050,,lipid asymmetry maintenance protein MlaB,CDS,303.0,
PP_0963,3607.0,3543.0,2173.0,40.0,82.0,83.0,90.175,43.207317073170735,26.180722891566266,,PP_RS05055,,BolA family protein,CDS,240.0,
PP_0964,27686.0,25074.0,13274.0,142.0,375.0,455.0,194.9718309859155,66.864,29.173626373626373,43.093338738225654,PP_RS05060,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,CDS,1266.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_0965,12090.0,11042.0,5624.0,33.0,189.0,198.0,366.3636363636364,58.423280423280424,28.404040404040405,213.9264869177332,PP_RS05065,hisG,ATP phosphoribosyltransferase,CDS,636.0,Metabolic:S_Histidine_Metabolism
PP_0966,11665.0,12329.0,6096.0,30.0,84.0,109.0,388.8333333333333,146.77380952380952,55.92660550458716,427.8529738354664,PP_RS05070,hisD,histidinol dehydrogenase,CDS,1326.0,Metabolic:S_Histidine_Metabolism
PP_0100,16840.0,19185.0,5393.0,73.0,262.0,316.0,230.68493150684932,73.22519083969466,17.06645569620253,7197.638340903758,PP_RS00510,,carbonic anhydrase,CDS,720.0,Metabolic:Unassigned
PP_0967,6934.0,6811.0,4276.0,25.0,167.0,137.0,277.36,40.78443113772455,31.21167883211679,427.8529738354664,PP_RS05075,hisC,histidinol-phosphate transaminase,CDS,1047.0,Metabolic:S_Histidine_Metabolism
PP_0968,1187.0,1379.0,570.0,59.0,45.0,45.0,20.11864406779661,30.644444444444446,12.666666666666666,,PP_RS05080,,alkaline phosphatase family protein,CDS,1185.0,
PP_0969,1608.0,2222.0,1205.0,3.0,16.0,26.0,536.0,138.875,46.34615384615385,,PP_RS05085,,FadR/GntR family transcriptional regulator,CDS,651.0,
PP_0970,2427.0,2319.0,1561.0,14.0,48.0,23.0,173.35714285714286,48.3125,67.8695652173913,0.0,PP_RS05090,,MFS transporter,CDS,1281.0,Metabolic:S_Transport__Inner_Membrane
PP_0971,1848.0,1960.0,863.0,9.0,36.0,46.0,205.33333333333334,54.44444444444444,18.76086956521739,,PP_RS05095,,nuclear transport factor 2 family protein,CDS,477.0,
PP_0972,690.0,681.0,369.0,5.0,10.0,8.0,138.0,68.1,46.125,,PP_RS05100,,GIY-YIG nuclease family protein,CDS,342.0,
PP_0973,10359.0,14719.0,4110.0,36.0,94.0,81.0,287.75,156.58510638297872,50.74074074074074,,PP_RS05105,yejK,nucleoid-associated protein YejK,CDS,1008.0,
PP_0975,12961.0,14362.0,5171.0,42.0,77.0,105.0,308.5952380952381,186.5194805194805,49.24761904761905,,PP_RS05110,,HU family DNA-binding protein,CDS,282.0,
PP_0976,977.0,824.0,455.0,36.0,42.0,30.0,27.13888888888889,19.61904761904762,15.166666666666666,0.05654458988326574,PP_RS05115,rlmF,23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF,CDS,954.0,Translation
PP_0977,49318.0,43511.0,26879.0,193.0,654.0,713.0,255.5336787564767,66.53058103975535,37.698457223001405,369.7355851911335,PP_RS05120,,valine--tRNA ligase,CDS,2847.0,tRNA Charging
PP_0101,579.0,696.0,296.0,25.0,29.0,30.0,23.16,24.0,9.866666666666667,,PP_RS00515,,SulP family inorganic anion transporter,CDS,1533.0,
